Juice,210,veg
Fresh lime,120,veg
Jal Jeera,115,veg
Ginger Lemon,130,veg
Soda,80,veg
Lassi,190,veg
Mango Lassi,215,veg
Buttermilk,125,veg
Cold Coffee,170,veg
Milk Shake,220,veg
Mango Milk Shake,250,veg
Fruit Punch,195,veg
Special Kesar Thandai,195,veg
